date,channel,source,medium,device_category,country,users,sessions,engaged_sessions,engagement_time_msec,purchases,revenue
2026-05-06,Direct,(direct),(none),desktop,Singapore,43,43,0,0,0,0
2026-05-06,Direct,(direct),(none),desktop,United States,2,2,1,64968,0,0
2026-05-06,Referral,statics.gov.teams.microsoft.us,referral,desktop,United States,1,1,0,0,0,0
2026-05-06,Direct,(direct),(none),desktop,Pakistan,1,1,1,85869,0,0
2026-05-05,Direct,(direct),(none),desktop,Singapore,41,41,0,0,0,0
2026-05-05,Direct,(direct),(none),desktop,Pakistan,2,2,2,78406,0,0
2026-05-05,Organic Search,bing,organic,desktop,United States,3,4,3,104170,0,0
2026-05-05,Direct,(direct),(none),desktop,United States,3,4,2,147506,0,0
2026-05-05,Organic Search,google,organic,desktop,Pakistan,1,1,0,0,0,0
2026-05-05,Direct,(direct),(none),mobile,United States,5,8,2,122959,0,0
2026-05-05,Organic Search,google,organic,mobile,United States,1,1,1,15036,0,0
2026-05-05,Referral,statics.gov.teams.microsoft.us,referral,desktop,United States,1,1,0,717,0,0
2026-05-04,Direct,(direct),(none),desktop,Singapore,44,44,0,0,0,0
2026-05-04,Direct,(direct),(none),desktop,United States,3,3,1,6,0,0
2026-05-04,Direct,(direct),(none),desktop,India,1,1,0,0,0,0
2026-05-04,Direct,(direct),(none),desktop,Pakistan,1,1,1,648082,0,0
2026-05-04,Direct,(direct),(none),mobile,United States,1,1,1,184425,0,0
2026-05-04,Direct,(direct),(none),mobile,China,1,1,0,0,0,0
2026-05-04,Referral,ncmahq.org,referral,desktop,United States,1,1,1,75733,0,0
2026-05-03,Direct,(direct),(none),desktop,Singapore,28,28,0,0,0,0
2026-05-03,Organic Search,google,organic,mobile,United States,1,2,0,0,0,0
2026-05-03,Direct,(direct),(none),mobile,United States,1,2,0,0,0,0
2026-05-03,Direct,(direct),(none),desktop,United States,1,1,0,234,0,0
2026-05-03,Direct,(direct),(none),desktop,China,2,2,0,0,0,0
2026-05-02,Organic Search,google,organic,mobile,United States,1,1,0,103,0,0
2026-05-02,Direct,(direct),(none),desktop,United States,5,5,0,0,0,0
2026-05-02,Direct,(direct),(none),desktop,Singapore,35,35,0,0,0,0
2026-05-02,Direct,(direct),(none),mobile,Vietnam,1,1,0,0,0,0
2026-05-02,Direct,(direct),(none),mobile,United States,2,2,1,55443,0,0
2026-05-02,Organic Search,google,organic,desktop,United States,1,2,0,221,0,0
2026-05-01,Direct,(direct),(none),desktop,Singapore,44,44,0,0,0,0
2026-05-01,Direct,(direct),(none),mobile,United States,2,4,4,120235,0,0
2026-05-01,Referral,jsc14.pimeyes.com,referral,mobile,United States,1,1,0,3083,0,0
2026-05-01,Organic Search,google,organic,mobile,United States,1,1,1,62577,0,0
2026-05-01,Organic Search,google,organic,desktop,United States,1,2,0,25,0,0
2026-05-01,Direct,(direct),(none),desktop,United States,2,3,3,1751436,0,0
2026-05-01,Referral,ncmahq.org,referral,desktop,United States,1,1,1,20298,0,0
2026-04-30,Direct,(direct),(none),desktop,Singapore,99,99,0,0,0,0
2026-04-30,Direct,(direct),(none),desktop,United States,2,2,0,7071,0,0
2026-04-30,Direct,(direct),(none),mobile,China,2,2,0,0,0,0
2026-04-30,Organic Search,google,organic,mobile,United States,1,1,0,0,0,0
2026-04-29,Direct,(direct),(none),desktop,Singapore,71,71,0,0,0,0
2026-04-29,Organic Search,google,organic,mobile,United States,1,6,0,0,0,0
2026-04-29,Direct,(direct),(none),desktop,Indonesia,1,1,1,27408,0,0
2026-04-29,Organic Search,google,organic,desktop,United States,2,2,0,0,0,0
2026-04-29,Direct,(direct),(none),desktop,United States,1,1,0,3123,0,0
2026-04-28,Direct,(direct),(none),desktop,Singapore,59,59,0,0,0,0
2026-04-28,Organic Search,google,organic,desktop,United States,1,1,0,225,0,0
2026-04-28,Organic Search,duckduckgo,organic,mobile,United States,1,1,1,64440,0,0
2026-04-28,Direct,(direct),(none),desktop,United States,1,1,0,0,0,0
2026-04-28,Organic Search,google,organic,mobile,United States,1,1,1,161379,0,0
2026-04-27,Direct,(direct),(none),desktop,Singapore,30,30,0,0,0,0
2026-04-27,Referral,ncmahq.org,referral,desktop,United States,1,2,1,2598,0,0
2026-04-26,Direct,(direct),(none),desktop,Singapore,35,35,0,0,0,0
2026-04-26,Direct,(direct),(none),desktop,United States,1,1,0,0,0,0
2026-04-25,Direct,(direct),(none),desktop,Singapore,37,37,0,0,0,0
2026-04-25,Organic Search,yahoo,organic,desktop,United States,1,1,0,7708,0,0
2026-04-25,Referral,ncmahq.org,referral,desktop,United States,1,1,1,62135,0,0
2026-04-25,Direct,(direct),(none),desktop,United States,2,2,0,0,0,0
2026-04-24,Direct,(direct),(none),desktop,Singapore,47,47,0,0,0,0
2026-04-24,Direct,(direct),(none),desktop,United States,3,3,1,90431,0,0
2026-04-24,Direct,(direct),(none),mobile,United States,1,2,1,30693,0,0
2026-04-24,Direct,(direct),(none),desktop,Pakistan,1,1,1,75362,0,0
2026-04-23,Direct,(direct),(none),desktop,Singapore,21,21,0,0,0,0
2026-04-23,Direct,(direct),(none),desktop,United States,3,3,1,68253,0,0
2026-04-23,Referral,linkedin.com,referral,mobile,United States,1,1,1,47338,1,0
2026-04-23,Referral,statics.teams.cdn.office.net,referral,desktop,United States,1,2,1,46713,0,0
2026-04-23,Organic Search,google,organic,mobile,United States,1,2,1,136359,0,0
2026-04-22,Organic Search,google,organic,mobile,United States,1,2,1,40296,1,0
2026-04-22,Direct,(direct),(none),desktop,Singapore,20,20,0,0,0,0
2026-04-22,Direct,(direct),(none),desktop,United States,3,3,2,214190,0,0
2026-04-22,Direct,(direct),(none),mobile,United States,2,2,2,27213,0,0
2026-04-20,Direct,(direct),(none),desktop,United States,1,1,0,0,0,0
2026-04-20,Organic Search,google,organic,mobile,United States,1,2,0,0,0,0
2026-04-20,Direct,(direct),(none),mobile,United States,1,2,1,32896,0,0
2026-04-19,Direct,(direct),(none),desktop,Singapore,39,39,0,0,0,0
2026-04-19,Direct,(direct),(none),desktop,Germany,1,1,1,0,0,0
2026-04-19,Direct,(direct),(none),desktop,Switzerland,1,1,1,0,0,0
2026-04-19,Organic Search,google,organic,mobile,United States,1,1,0,0,0,0
2026-04-19,Organic Search,google,organic,desktop,United States,1,1,1,20576,0,0
2026-04-19,Direct,(direct),(none),desktop,United States,2,2,1,0,0,0
2026-04-18,Direct,(direct),(none),desktop,Singapore,83,83,0,0,0,0
2026-04-18,Organic Search,google,organic,mobile,United States,1,3,0,0,0,0
2026-04-18,Organic Search,google,organic,desktop,United States,2,3,2,134554,0,0
2026-04-18,Direct,(direct),(none),desktop,Russia,1,1,0,0,0,0
2026-04-17,Direct,(direct),(none),desktop,Singapore,62,62,0,0,0,0
2026-04-17,Direct,(direct),(none),desktop,United States,3,3,1,36739,0,0
